testbox	access
nginx	airfusion
calico-apiserver-bf78d996b-8slbt	calico-apiserver
calico-apiserver-bf78d996b-h8knq	calico-apiserver
calico-kube-controllers-65dbcb8786-zqkxk	calico-system
calico-node-28sgt	calico-system
calico-node-5fkrc	calico-system
calico-node-6b7jd	calico-system
calico-node-6gc2g	calico-system
calico-node-c6svw	calico-system
calico-node-cvxkt	calico-system
calico-node-nw229	calico-system
calico-node-pnbr4	calico-system
calico-node-psw4r	calico-system
calico-typha-6c4f5bd7f8-2r5fc	calico-system
calico-typha-6c4f5bd7f8-8wqmm	calico-system
calico-typha-6c4f5bd7f8-cdjs9	calico-system
csi-node-driver-2mg7g	calico-system
csi-node-driver-6lkt8	calico-system
csi-node-driver-dtvcx	calico-system
csi-node-driver-fcqht	calico-system
csi-node-driver-ft9cd	calico-system
csi-node-driver-j86db	calico-system
csi-node-driver-kmpzh	calico-system
csi-node-driver-vx6tr	calico-system
csi-node-driver-xs57n	calico-system
admin-pod	default
audit-web-app	default
dnslookup	default
front-end-helper	default
green	default
grey	default
lab124deploy-7c7c8457f9-2cw5f	default
lab126deploy-fff46cd4b-llc5m	default
lab126deploy-fff46cd4b-lw7ck	default
lab126deploy-fff46cd4b-qhhs6	default
lab1310pod	default
messagepod	default
nginx-68946b89db-269h5	default
nginx-68946b89db-47x9m	default
nginx-68946b89db-87hpp	default
nginx-68946b89db-dkhzn	default
nginx-68946b89db-rh9xs	default
nginx-68946b89db-xwp2v	default
nginx-deployment-5b9455bc67-d8fl8	default
nginx-deployment-5b9455bc67-zjzlq	default
nginx-rolling-57bc46ffcb-7l2j4	default
nginx-rolling-57bc46ffcb-gfpbp	default
nginx-rolling-57bc46ffcb-mtc6g	default
non-per-pod	default
pod-jxc56fv	default
prod-pod-nginx	default
pv-pod	default
run-cron-date-28437808-hf228	default
run-cron-date-28437809-w8h8m	default
run-cron-date-28437810-x8zt6	default
run-cron-date-28437811-5k5vx	default
run-cron-date-28437812-7snxv	default
run-cron-date-28437813-fj54l	default
simplepod-7fcd9d85c8-2vn8t	default
simplepod-7fcd9d85c8-8zj66	default
simplepod-7fcd9d85c8-94rwr	default
simplepod-7fcd9d85c8-9hvft	default
simplepod-7fcd9d85c8-wlgjx	default
simplepod-7fcd9d85c8-wtvpn	default
simplepod-7fcd9d85c8-wwlkb	default
simplepod-7fcd9d85c8-x2rwd	default
stateful-0	default
stateful-1	default
stateful-2	default
stateful-3	default
staticnginx-workernode01	default
testtol-56d58cfbd-2kc9b	default
testtol-56d58cfbd-jk4t9	default
testtol-56d58cfbd-lbm8l	default
testtol-56d58cfbd-zlds7	default
toloratenginx-5bbbf45846-7wrkz	default
toloratenginx-5bbbf45846-g7mmj	default
toloratenginx-5bbbf45846-sv2s9	default
toloratenginx-5bbbf45846-wmhxl	default
web-003-59b65f475-hs6mf	default
web-003-59b65f475-lh6kc	default
web-003-59b65f475-t5p8b	default
web-proj-268-5564fbcd55-dbl7s	default
yellow	default
delta-pod	defense
multi-pod	devlopment
ingress-nginx-controller-76df688779-tgz5r	ingress-nginx
coredns-76f75df574-crqnm	kube-system
coredns-76f75df574-n8g6r	kube-system
etcd-masternode	kube-system
kube-apiserver-masternode	kube-system
kube-controller-manager-masternode	kube-system
kube-proxy-2ntwk	kube-system
kube-proxy-55477	kube-system
kube-proxy-dvfgp	kube-system
kube-proxy-hfxks	kube-system
kube-proxy-kdsvt	kube-system
kube-proxy-r2p29	kube-system
kube-proxy-rg4vd	kube-system
kube-proxy-tq2xb	kube-system
kube-proxy-vdqrz	kube-system
kube-scheduler-masternode	kube-system
metrics-server-69fb86cf66-zldjr	kube-system
lab128deploy-6f9c55779d-9crbm	limited
lab128deploy-6f9c55779d-crnhn	limited
lab128deploy-6f9c55779d-rxkfk	limited
tigera-operator-55585899bf-7tsjg	tigera-operator
